name,externalid,lat,long
TSK-Mariánské hradby-Prašný most,500078,50.093303602960155,14.39858017350879
TSK-Muzeum,500008,50.07975624427018,14.430383748760296
TSK-Myslbekova-Dlabačov,500079,50.08597783288123,14.384380671654348
TSK-Nuselský most,500003,50.06273327286045,14.432181250221849
TSK-Náměstí Jana Palacha,500047,50.088759868605734,14.41572213436642
TSK-Náměstí Jiřího z Poděbrad,500013,50.07712564972658,14.449770628253292
TSK-Náměstí Kinských,500508,50.07888957925937,14.404356670603471
TSK-náměstí OSN 1.,500107,50.11136868007058,14.50288238872722
TSK-náměstí OSN 2.,500108,50.11113624921936,14.502516155313788
TSK-Národní divadlo,500046,50.081509523561344,14.412912917214292
TSK-Ohrada (Koněvova-Želivského),500022,50.09015209051565,14.467804497008197
TSK-Olšanské náměstí,500023,50.08254480358856,14.459431898303066
TSK-Ostrovského-Radlická,500505,50.06867887044638,14.401675241210219
TSK-Palackého náměstí,500044,50.07317435207167,14.413847774589016
TSK-Palmovka,500101,50.10128544952478,14.47334507601718
TSK-Patočkova-Střešovická ,500083,50.092547736545434,14.38749033907658
TSK-Plzeňská-Kartouzská,500217,50.07216220745755,14.397980796807174
TSK-Plzeňská-Tomáškova,500218,50.07245387251077,14.395844684697083
TSK-Radlická k Plzeňské,500222,50.07244556739401,14.400756690125611
TSK-Radlická k rampě D,500221,50.07244832011026,14.400841912991163
TSK-Ruská,500018,50.07339508304241,14.469608339831405
"TSK-SAT-A KM 14,438",500284,50.07321498216606,14.397528012261064
"TSK-SAT-A KM 14,648",500281,50.07382887617061,14.396072467643036
"TSK-SAT-A KM 14,828",500279,50.07442609720377,14.394566907111479
"TSK-SAT-A KM 14,938",500278,50.0748149814123,14.39398079847807
"TSK-SAT-A KM 15,138",500276,50.07550943180972,14.392825246111931
"TSK-SAT-A KM 15,348",500274,50.076748321877616,14.391169683097953
"TSK-SAT-A KM 15,538",500272,50.07818998754311,14.389286344226855
"TSK-SAT-A KM 15,738",500270,50.079645542139474,14.387350243039254
"TSK-SAT-A KM 15,838",500269,50.08039553665994,14.386350240351982
"TSK-SAT-A KM 15,938",500268,50.081176092000234,14.385275235317131
"TSK-SAT-A KM 16,028",500267,50.082048314342636,14.384172463573778
"TSK-SAT-A KM 16,208",500265,50.08352609962868,14.382205800169146
"TSK-SAT-A KM 16,388",500263,50.08515942464147,14.381169679784062
"TSK-SAT-B KM 14,355",500232,50.073006647954884,14.398144690129811
"TSK-SAT-B KM 14,475",500234,50.0737149815292,14.397105795641009
"TSK-SAT-B KM 14,625",500236,50.0743510995684,14.39528356781719
"TSK-SAT-B-Přemostění ATM-SAT KM 14,335",500210,50.07247025818058,14.398309223787656
"TSK-SAT-rampa jih k SAT KM 14,375",500208,50.07247780051266,14.398353905635473
"TSK-SAT-rampa jih ze SAT KM 14,355",500207,50.071689987595214,14.398183572599116
"TSK-SAT-výjezd z MO-A KM 0,0",500205,50.072926100085084,14.39773912966659
TSK-Slezská,500025,50.07581429109403,14.437900045057058
TSK-Strakonická-Barrandovský most,500472,50.03850471892815,14.407814352498148
TSK-Strakonická-U Královské louky,500501,50.061006652983075,14.411305801679763
TSK-Svornosti-Lidická,500507,50.07241776033695,14.408258581698142
TSK-U Brusnice,500076,50.09457276181351,14.391783955819292
TSK-U výstaviště,500069,50.1045478088611,14.431700411797603
TSK-V Holešovičkách do centra,500066,50.11550628234525,14.446109727717127
TSK-V Holešovičkách z centra,500067,50.115519250775925,14.44611373382979
TSK-Vinohradská-Italská,500014,50.07793890454891,14.436473363921564
TSK-Vltavská-Hořejší nábřeží,500502,50.069942762294524,14.410311355011004
TSK-Vltavská-Nádražní,500506,50.06915943284184,14.405703016040857
TSK-Votická,500020,50.07824356718026,14.473343040047874
TSK-Vrchlického-U Malostran. hřbitova,500215,50.071712206094276,14.39395024344051
TSK-Vypich,500077,50.078927405330624,14.34404372070434
TSK-Vysočanská-Prosecká,500111,50.11771575103749,14.499516828178631
TSK-Výtoň,500043,50.06738526199083,14.414937998732698
TSK-Wilsonova  k P-2,500009,50.084107375926635,14.435310714521714
TSK-Wilsonova  k P-7,500010,50.08410627709317,14.435308551375899
"TSK-ZAT-A KM 11,447",500463,50.04870387740291,14.40925024649799
"TSK-ZAT-A KM 11,522",500462,50.04927053777363,14.408519688498073
"TSK-ZAT-A KM 11,597",500461,50.05016813016484,14.407892134474913
"TSK-ZAT-B KM 11,377",500431,50.049114705228206,14.408956680124335
"TSK-ZAT-B KM 11,447",500432,50.04946498335495,14.408589124468412
"TSK-ZAT-B KM 11,537",500433,50.05003721044688,14.408155800646941
